City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Ibia,BR,2020-02-20 16:59:15,-19.48,-46.54,87.01,58,75,5.82
237,Kanel,SN,2020-02-20 16:59:16,15.49,-13.18,100.4,16,59,2.24
238,Elhovo,BG,2020-02-20 16:59:16,42.17,26.57,44.6,81,90,11.41
239,Cheremnoye,RU,2020-02-20 16:59:17,53.17,83.21,26.6,73,75,15.66
240,Aksu,CN,2020-02-20 16:59:17,41.12,80.26,32.11,43,0,3.91
241,Whitehorse,CA,2020-02-20 16:59:18,60.72,-135.05,26.01,73,75,12.75
242,Shunyi,CN,2020-02-20 16:55:39,40.12,116.65,37.0,92,100,2.24
243,Barcelos,PT,2020-02-20 16:58:27,41.54,-8.62,61.0,67,0,4.7
244,Manitouwadge,CA,2020-02-20 16:59:19,49.12,-85.84,10.4,78,75,10.29
245,Gweru,ZW,2020-02-20 16:59:19,-19.45,29.82,68.05,61,25,3.96
246,Biltine,TD,2020-02-20 16:59:20,14.53,20.92,79.77,18,0,8.66
247,Nemuro,JP,2020-02-20 16:59:20,43.32,145.57,25.77,76,14,11.27
248,Sarakhs,IR,2020-02-20 16:59:21,36.54,61.16,55.4,58,100,13.44
249,Vaasa,FI,2020-02-20 16:59:22,63.08,21.67,30.2,68,100,13.87
250,Monrovia,LR,2020-02-20 16:57:14,6.3,-10.8,93.2,59,75,13.87
251,Spencer,US,2020-02-20 16:59:22,43.14,-95.14,12.0,66,1,6.93
252,Pisco,PE,2020-02-20 16:59:23,-13.7,-76.22,79.0,30,90,10.29
253,Kamensk-Uralskiy,RU,2020-02-20 16:56:27,56.42,61.93,27.9,91,100,8.32
254,Bethel,US,2020-02-20 16:59:24,41.37,-73.41,36.0,42,1,8.05
255,Kampene,CD,2020-02-20 16:59:24,-3.6,26.67,72.64,94,76,1.74
256,Lagoa,PT,2020-02-20 16:59:25,39.05,-27.98,56.7,61,22,9.93
257,Todos Santos,MX,2020-02-20 16:59:25,23.45,-110.22,81.0,47,5,4.7
258,Luderitz,NA,2020-02-20 16:59:26,-26.65,15.16,75.2,64,0,27.51
259,Nizhnevartovsk,RU,2020-02-20 16:59:27,60.93,76.55,30.2,92,40,6.71
260,Soe,ID,2020-02-20 16:59:28,-9.86,124.28,75.27,86,100,4.16
261,Atar,MR,2020-02-20 16:59:29,20.52,-13.05,90.21,7,0,7.18
262,Pevek,RU,2020-02-20 16:59:30,69.7,170.31,-8.57,98,100,6.11
263,Kaeo,NZ,2020-02-20 16:59:31,-35.1,173.78,62.01,100,71,2.57
264,Jiwani,PK,2020-02-20 16:59:32,25.05,61.74,73.13,64,22,6.8
265,Salalah,OM,2020-02-20 16:59:32,17.02,54.09,77.0,73,40,6.93
266,Acarau,BR,2020-02-20 16:59:33,-2.89,-40.12,82.29,77,100,8.9
267,Henderson,US,2020-02-20 16:54:41,36.04,-114.98,50.0,16,1,11.41
268,Lompoc,US,2020-02-20 16:59:00,34.64,-120.46,53.6,93,1,3.2
269,Termoli,IT,2020-02-20 16:59:34,41.99,14.99,48.0,50,0,3.0
270,Georgetown,MY,2020-02-20 16:59:35,5.41,100.34,82.4,74,20,3.36
271,Mana,GF,2020-02-20 16:59:35,5.66,-53.78,84.97,53,78,7.18
272,Qom,IR,2020-02-20 16:59:36,34.64,50.88,48.06,64,100,10.27
273,Keti Bandar,PK,2020-02-20 16:59:36,24.14,67.45,70.99,34,0,7.38
274,Najran,SA,2020-02-20 16:59:37,17.49,44.13,84.2,17,20,9.17
